i=0.90,cp=125.301018
i=0.89,cp=131.625499
i=0.88,cp=141.437224
i=0.87,cp=141.346202
i=0.86,cp=142.638303
i=0.85,cp=142.077918
i=0.84,cp=141.106292
i=0.83,cp=149.831980
i=0.82,cp=143.415283
i=0.81,cp=141.735041
i=0.80,cp=138.153660
i=0.79,cp=131.508526
i=0.78,cp=134.017845
i=0.77,cp=130.211426
i=0.76,cp=135.835709
i=0.75,cp=127.928775
i=0.74,cp=135.754147
i=0.73,cp=135.555592
i=0.72,cp=131.597331
i=0.71,cp=133.167824
i=0.70,cp=126.823511
i=0.69,cp=129.316300
i=0.68,cp=120.703978
i=0.67,cp=118.234610
i=0.66,cp=112.666700
i=0.65,cp=110.344656
i=0.64,cp=111.019033
i=0.63,cp=111.594987
i=0.62,cp=106.930292
i=0.61,cp=109.902396
i=0.60,cp=107.705218
i=0.59,cp=108.168371
i=0.58,cp=104.113262
i=0.57,cp=105.458910
i=0.56,cp=107.362609
i=0.55,cp=105.719969
i=0.54,cp=104.138334
i=0.53,cp=112.555447
i=0.52,cp=105.862158
i=0.51,cp=107.290666
i=0.50,cp=106.556471
i=0.49,cp=109.908663
i=0.48,cp=108.918439
i=0.47,cp=108.399327
i=0.46,cp=108.717855
i=0.45,cp=113.141904
i=0.44,cp=108.174096
i=0.43,cp=106.885706
i=0.42,cp=110.022221
i=0.41,cp=110.797422
i=0.40,cp=109.454299
i=0.39,cp=109.804876
i=0.38,cp=115.191427
i=0.37,cp=113.975855
i=0.36,cp=115.350801
i=0.35,cp=113.325565
i=0.34,cp=119.194741
i=0.33,cp=121.542565
i=0.32,cp=120.401640
i=0.31,cp=123.892400
i=0.30,cp=125.053260
i=0.29,cp=123.103951
i=0.28,cp=127.398415
i=0.27,cp=128.189359
i=0.26,cp=130.488658
i=0.25,cp=134.271216
i=0.24,cp=135.660098
i=0.23,cp=140.611034
i=0.22,cp=142.575205
i=0.21,cp=143.102471
i=0.20,cp=145.392306
i=0.19,cp=150.406607
i=0.18,cp=154.060663
i=0.17,cp=150.025832
i=0.16,cp=149.926599
i=0.15,cp=156.526635
i=0.14,cp=159.668972
i=0.13,cp=159.561124
i=0.12,cp=164.273945
i=0.11,cp=165.388396
i=0.10,cp=166.097641
i=0.09,cp=164.026289
i=0.08,cp=169.083786
i=0.07,cp=172.329758
i=0.06,cp=172.689843
i=0.05,cp=172.148222
i=0.04,cp=175.558978
i=0.03,cp=173.630574
i=0.02,cp=175.276351
i=0.01,cp=183.196248
i=0.00,cp=183.227236
i=-0.01,cp=183.747866
i=-0.02,cp=186.363990
i=-0.03,cp=188.409926
i=-0.04,cp=191.618243
i=-0.05,cp=189.751402
i=-0.06,cp=195.562884
i=-0.07,cp=196.430365
i=-0.08,cp=197.338315
i=-0.09,cp=198.287789
i=-0.10,cp=199.830059
i=-0.11,cp=203.060588
i=-0.12,cp=205.425031
i=-0.13,cp=204.583371
i=-0.14,cp=208.324029
i=-0.15,cp=209.625616
i=-0.16,cp=214.534122
i=-0.17,cp=210.456811
i=-0.18,cp=217.346711
i=-0.19,cp=221.326218
i=-0.20,cp=221.880594
i=-0.21,cp=222.447928
i=-0.22,cp=223.724905
i=-0.23,cp=226.500901
i=-0.24,cp=229.171402
i=-0.25,cp=228.057377
i=-0.26,cp=234.738756
i=-0.27,cp=235.850316
i=-0.28,cp=235.157383
i=-0.29,cp=241.531881
i=-0.30,cp=239.190279
i=-0.31,cp=239.771585
i=-0.32,cp=240.903230
i=-0.33,cp=242.078979
i=-0.34,cp=245.248094
i=-0.35,cp=248.162120
i=-0.36,cp=248.666580
i=-0.37,cp=250.106978
i=-0.38,cp=253.672702
i=-0.39,cp=252.177735
i=-0.40,cp=251.627725
i=-0.41,cp=253.366397
i=-0.42,cp=255.598164
i=-0.43,cp=256.344853
i=-0.44,cp=256.179488
i=-0.45,cp=258.805575
i=-0.46,cp=259.590328
i=-0.47,cp=256.803436
i=-0.48,cp=261.597465
i=-0.49,cp=260.772347
i=-0.50,cp=265.480549
i=-0.51,cp=263.939359
i=-0.52,cp=267.499040
i=-0.53,cp=263.937173
i=-0.54,cp=268.591459
i=-0.55,cp=266.770584
i=-0.56,cp=267.789097
i=-0.57,cp=265.770071
i=-0.58,cp=268.285152
i=-0.59,cp=269.237409
i=-0.60,cp=269.803151
i=-0.61,cp=272.490362
i=-0.62,cp=271.818694
i=-0.63,cp=272.091879
i=-0.64,cp=272.778713
i=-0.65,cp=270.754153
i=-0.66,cp=273.746614
i=-0.67,cp=275.797327
i=-0.68,cp=277.672714
i=-0.69,cp=274.206664
i=-0.70,cp=272.411753
i=-0.71,cp=276.316228
i=-0.72,cp=277.166039
i=-0.73,cp=277.773257
i=-0.74,cp=279.385659
i=-0.75,cp=279.074172
i=-0.76,cp=282.165322
i=-0.77,cp=283.001427
i=-0.78,cp=282.890034
i=-0.79,cp=279.467636
i=-0.80,cp=284.360126
i=-0.81,cp=277.962587
i=-0.82,cp=280.962905
i=-0.83,cp=283.442737
i=-0.84,cp=282.750758
i=-0.85,cp=278.963022
i=-0.86,cp=282.106916
i=-0.87,cp=282.083258
i=-0.88,cp=280.938285
i=-0.89,cp=279.251587
i=-0.90,cp=283.860585
-------------------------------------
